Название,Артикул,В наличии,Цена,Старая цена,Ссылка,Бренд,Модель
Logitech G102 LIGHTSYNC Gaming LILAC,80554448,25,4350 руб,5350 руб,https://parsinger.ru/html/mouse/3/3_10.html, Logitech, G102 LIGHTSYNC Gaming LILAC
Мышь Logitech G PRO HERO Black USB проводная,80247044,55,5100 руб,5900 руб,https://parsinger.ru/html/mouse/3/3_11.html, Logitech, G PRO HERO
Logitech G402 Hyperion Fury,8675403,27,4400 руб,5000 руб,https://parsinger.ru/html/mouse/3/3_12.html, Logitech, G PRO HERO
Мышь беспроводная STM 109CW чёрный USB,86275403,127,455 руб,500 руб,https://parsinger.ru/html/mouse/3/3_13.html, STM, 109CW
Мышь проводная Defender MB-986 чёрный USB,80603934,550,270 руб,400 руб,https://parsinger.ru/html/mouse/3/3_14.html, Defender, MB-986
Мышь проводная Gembird MG-520 чёрный USB,80216417,150,720 руб,850 руб,https://parsinger.ru/html/mouse/3/3_15.html, Gembird, MG-520
Мышь проводная CBR CM 846 Armor чёрный USB,80606384,99,790 руб,999 руб,https://parsinger.ru/html/mouse/3/3_16.html, CBR, CM 846 Armor
Мышь проводная Гарнизон GM-720G чёрный USB,80166285,81,600 руб,860 руб,https://parsinger.ru/html/mouse/3/3_17.html, CBR, GM-720G
Мышь проводная Гарнизон GM-700G чёрный USB,80148902,21,425 руб,560 руб,https://parsinger.ru/html/mouse/3/3_18.html, Гарнизон, GM-700G
Мышь проводная Гарнизон GM-760G чёрный USB,80148901,61,610 руб,960 руб,https://parsinger.ru/html/mouse/3/3_19.html, Гарнизон, GM-760G
Мышь проводная Гарнизон GM-730G чёрный USB,80148484,41,580 руб,840 руб,https://parsinger.ru/html/mouse/3/3_20.html, Гарнизон, GM-730G
Мышь проводная Гарнизон GM-620G чёрный USB,80148483,121,385 руб,500 руб,https://parsinger.ru/html/mouse/3/3_21.html, Гарнизон, GM-620G
Мышь проводная A4TECH Bloody Q51 чёрный USB,80090478,91,1320 руб,1500 руб,https://parsinger.ru/html/mouse/3/3_22.html, A4TECH, Bloody Q51
MGK-03U Dialog Gan-Kata - игровая,80234480,50,260 руб,420 руб,https://parsinger.ru/html/mouse/3/3_23.html, Dialog, MGK-03U Gan-Kata
Defender Flash MB-600L,80244813,160,245 руб,400 руб,https://parsinger.ru/html/mouse/3/3_24.html, Defender, Flash MB-600L
Gembird MG-550,80244813,60,830 руб,1000 руб,https://parsinger.ru/html/mouse/3/3_25.html, Gembird, MG-550
Lenovo Legion M200 RGB Gaming Mouse,80538807,36,1460 руб,1620 руб,https://parsinger.ru/html/mouse/3/3_26.html, Lenovo, Legion M200
Sven RX-G750 чёрный USB,80558868,86,1590 руб,1620 руб,https://parsinger.ru/html/mouse/3/3_27.html, Sven, RX-G750
Wired Gaming Mouse ,80529373,54,960 руб,1220 руб,https://parsinger.ru/html/mouse/3/3_28.html, Canyon, -
MSI Clutch GM08 ,80563231,94,1690 руб,2220 руб,https://parsinger.ru/html/mouse/3/3_29.html, MSI, Clutch GM08
Gembird MG-760 ,80564137,57,640 руб,1220 руб,https://parsinger.ru/html/mouse/3/3_30.html, Gembird, MG-760
MGK-11U Dialog Gan-Kata ,80564156,27,435 руб,690 руб,https://parsinger.ru/html/mouse/3/3_31.html, Dialog, MGK-11U
Logitech G102 LIGHTSYNC ,80413190,127,2180 руб,2890 руб,https://parsinger.ru/html/mouse/3/3_32.html, Logitech, G102 LIGHTSYNC
Жесткий диск 3.5 2 Tb 5900 rpmrpm 64 MbMb cache Seagate ST2000VX008 SATA III 6 Gb/s ,8958218,37,12240 руб,15240 руб,https://parsinger.ru/html/hdd/4/4_1.html, Seagate, G102 LIGHTSYNC
Жесткий диск 3.5 500 Gb 7200rpm 64Mb cache Toshiba HDWD105UZSVA  ,8818642,37,6200 руб,7200 руб,https://parsinger.ru/html/hdd/4/4_2.html, Toshiba, HDWD105UZSVA
Жесткий диск 3.5 500Gb 7200rpm HP SATAIII QK554AA  ,8628555,17,14360 руб,15560 руб,https://parsinger.ru/html/hdd/4/4_3.html, HP, QK554AA
Жесткий диск Seagate Original SATA-III 2Tb ST2000NM000A Exos 7E8 (7200rpm) 256Mb 3.5  ,80562356,37,18690 руб,19690 руб,https://parsinger.ru/html/hdd/4/4_4.html, Seagate, ST2000NM000A
Жесткий диск 3.5 2 Tb 7200 rpmrpm 128 MbMb cache HGST Ultrastar 7K2 SATA III 6 Gb/s 1W10002  ,8945373,57,25430 руб,27350 руб,https://parsinger.ru/html/hdd/4/4_5.html, HGST, Ultrastar 7K2
Жесткий диск 3.5 1 Tb 7200 rpmrpm 64 MbMb cache Seagate ST1000DM010 SATA III 6 Gb/s,8957757,61,7180 руб,8180 руб,https://parsinger.ru/html/hdd/4/4_6.html, Seagate, ST1000DM010
Жесткий диск 3.5 4 Tb 5400 rpmrpm 128 MbMb cache Toshiba S300 Surveillance SATA III 6 Gb/s,89573757,42,10710 руб,11180 руб,https://parsinger.ru/html/hdd/4/4_7.html, Toshiba, S300 Surveillance
Жесткий диск 3.5 2 Tb 7200rpm 128Mb cache Toshiba MG04SCA20EE SAS,8988540,32,11010 руб,12620 руб,https://parsinger.ru/html/hdd/4/4_8.html, Toshiba, MG04SCA20EE
Жесткий диск 3.5 3 Tb 7200rpm 64Mb cache Toshiba HDWD130UZSVA SATA III 6 Gb/s,8822188,132,11600 руб,12480 руб,https://parsinger.ru/html/hdd/4/4_9.html, Toshiba, HDWD130UZSVA
HDD Toshiba X300 SATA3 6Tb 3.57200 256Mb (analog HDWR160UZSVA),80585205,14,20820 руб,21870 руб,https://parsinger.ru/html/hdd/4/4_10.html, Toshiba, -
Жесткий диск 3.5 4 Tb 7200 rpmrpm 256 MbMb cache Seagate ST4000NM002A SATA III 6 Gb/s,80387011,9,20460 руб,22390 руб,https://parsinger.ru/html/hdd/4/4_11.html, Seagate, ST4000NM002A
Жесткий диск 3.5 6 Tb 5400 rpmrpm 256 MbMb cache Seagate Skyhawk ST6000VX001 SATA III 6 Gb/s,80185134,19,21590 руб,22520 руб,https://parsinger.ru/html/hdd/4/4_12.html, Seagate, Skyhawk ST6000VX001
Жесткий диск 3.5 4 Tb 5400 rpmrpm 256 MbMb cache Seagate Barracuda SATA III 6 Gb/s ST4000DM004,80014276,39,13330 руб,14250 руб,https://parsinger.ru/html/hdd/4/4_13.html, Seagate, Barracuda
Жесткий диск Toshiba SATA-III 6Tb HDWR160UZSVA X300 (7200rpm) 256Mb 3.5,80575673,19,20810 руб,21810 руб,https://parsinger.ru/html/hdd/4/4_14.html, Toshiba, HDWR160UZSVA
Жесткий диск 3.52 Tb 5900rpm 64Mb cache Seagate IronWolf SATA III 6 Gb/s ST2000VN004,8958216,15,13120 руб,14510 руб,https://parsinger.ru/html/hdd/4/4_15.html, Seagate, IronWolf
Жесткий диск Toshiba SATA-III 6Tb HDWT860UZSVA Surveillance S300 (5400rpm) 256Mb 3.5,80577948,25,16480 руб,17160 руб,https://parsinger.ru/html/hdd/4/4_16.html, Seagate, HDWT860UZSVA
Жесткий диск 3.5 16 Tb 7200 rpmrpm 256 MbMb cache Seagate ST16000NM001G SATA III 6 Gb/s,80395596,125,70200 руб,72200 руб,https://parsinger.ru/html/hdd/4/4_17.html, Seagate, ST16000NM001G
Жесткий диск 3.5 2 Tb 5400 rpmrpm 128 MbMb cache Toshiba HDWD220UZSVA SATA III 6 Gb/s,80544434,12,8170 руб,8830 руб,https://parsinger.ru/html/hdd/4/4_18.html, Toshiba, HDWD220UZSVA
Жесткий диск 3.5 6 Tb 7200rpm 128Mb cache Toshiba X300 SATA III 6 Gb/s (HDWR160EZSTA),80540551,22,21310 руб,22310 руб,https://parsinger.ru/html/hdd/4/4_19.html, Toshiba, X300
Жесткий диск 3.5 3 Tbrpm 256 MbMb cache Seagate Barracuda ST3000DM007 SATA III 6 Gb/s,80062968,17,9050 руб,9950 руб,https://parsinger.ru/html/hdd/4/4_20.html, Seagate, Barracuda ST3000DM007
Жесткий диск 3.5 6 Tb 7200rpm 128Mb cache Toshiba SATAIII HDWE160UZSVA,8983665,45,16020 руб,17020 руб,https://parsinger.ru/html/hdd/4/4_21.html, Toshiba, HDWE160UZSVA
Жесткий диск 3.5 8 Tb 7200 rpmrpm 256 MbMb cache Toshiba HDWR480EZSTA SATA III 6 Gb/s,80590182,5,25460 руб,26460 руб,https://parsinger.ru/html/hdd/4/4_22.html, Toshiba, HDWR480EZSTA
Жесткий диск 3.5 2 Tb 5400rpm 256Mb cache Western Digital WD20EFAX SATA III 6 Gb/s,80333485,55,14590 руб,15590 руб,https://parsinger.ru/html/hdd/4/4_23.html, Western Digital, HDWR480EZSTA
Жесткий диск 3.5 6 Tb 7200rpm 256Mb cache Toshiba Surveillance S300 HDWT360UZSVA SATA III 6 Gb/s,80212816,25,16780 руб,17780 руб,https://parsinger.ru/html/hdd/4/4_24.html, Toshiba, Surveillance S300 HDWT360UZSVA
Жесткий диск 3.5 500 Gb 7200 rpmrpm 32 MbMb cache Seagate 3.5 SATA III 6 Gb/s ST500DM009,8926331,29,6540 руб,7740 руб,https://parsinger.ru/html/hdd/4/4_25.html, Seagate, -
Жесткий диск 3.5 2 Tb 7200 rpmrpm 256 MbMb cache Western Digital WD20EZBX SATA III 6 Gb/s,80571771,69,7670 руб,8360 руб,https://parsinger.ru/html/hdd/4/4_26.html, Western Digital, WD20EZBX
Жесткий диск 3.5 2 Tb 7200 rpmrpm 256 MbMb cache Seagate Barracuda ST2000DM008 SATA III 6 Gb/s,80185132,19,7110 руб,7910 руб,https://parsinger.ru/html/hdd/4/4_27.html, Seagate, Barracuda ST2000DM008
Жесткий диск 3.5 6 Tb 7200 rpmrpm 256 MbMb cache Toshiba MG06ACA600E SATA III 6 Gb/s,80348865,37,19650 руб,20650 руб,https://parsinger.ru/html/hdd/4/4_28.html, Toshiba, Barracuda ST2000DM008
3.5 Жесткий диск 500Gb Western Digital Caviar Black (WD5003AZEX) SATA III,8042420,27,7910 руб,8970 руб,https://parsinger.ru/html/hdd/4/4_29.html, Western Digital, Caviar Black WD5003AZEX
3.5 Жесткий диск 1Tb Western Digital Caviar Red (WD10EFRX) SATA III,8042257,18,8540 руб,9540 руб,https://parsinger.ru/html/hdd/4/4_30.html, Western Digital, Caviar Black WD5003AZEX
Жесткий диск Toshiba SATA-III 4Tb HDWD240EZSTA,80564371,38,11990 руб,12470 руб,https://parsinger.ru/html/hdd/4/4_31.html, Toshiba, HDWD240EZSTA
Жесткий диск 3.5 2 Tb 7200 rpmrpm 64 MbMb cache Western Digital WD2003FZEX,8406493,138,25040 руб,27040 руб,https://parsinger.ru/html/hdd/4/4_32.html, Western Digital, WD2003FZEX
Defender Warhead G-160 ,80333758,17,620 руб,910 руб,https://parsinger.ru/html/headphones/5/5_1.html, Defender, Warhead G-160
"Apex Pro объемный звук 7.1, кабель 1.8м DEFENDER ",80564563,97,1310 руб,1910 руб,https://parsinger.ru/html/headphones/5/5_2.html, Defender, Apex Pro
Игровая гарнитура проводная Crown CMGH-2000,80327367,21,1500 руб,2060 руб,https://parsinger.ru/html/headphones/5/5_3.html, Defender, CMGH-2000
Sven AP-G333MV,80566401,41,870 руб,1150 руб,https://parsinger.ru/html/headphones/5/5_4.html, Sven, AP-G333MV
Игровая гарнитура проводная Sven AP-G300MV,80566400,57,1030 руб,1390 руб,https://parsinger.ru/html/headphones/5/5_5.html, Sven, AP-G300MV
Игровая гарнитура проводная Defender Warhead G-320,80313127,11,670 руб,990 руб,https://parsinger.ru/html/headphones/5/5_6.html, Defender, Warhead G-320
Игровая гарнитура проводная Defender Warhead G-320,80313126,81,700 руб,950 руб,https://parsinger.ru/html/headphones/5/5_7.html, Defender, Warhead G-320
Defender Tanto 64451,803131426,33,590 руб,960 руб,https://parsinger.ru/html/headphones/5/5_8.html, Defender, Tanto
Игровая гарнитура проводная Sven AP-U989MV,80291506,43,3770 руб,4120 руб,https://parsinger.ru/html/headphones/5/5_9.html, Sven, AP-U989MV
Игровая гарнитура проводная Harper Gaming Raster GHS-X15,80291489,47,2440 руб,3040 руб,https://parsinger.ru/html/headphones/5/5_10.html, Harper, Gaming Raster GHS-X15
Гарнитура Defender Scylla,80266028,16,1410 руб,2120 руб,https://parsinger.ru/html/headphones/5/5_11.html, Defender, Scylla
Игровая гарнитура проводная Logitech G332,80257697,26,5150 руб,5720 руб,https://parsinger.ru/html/headphones/5/5_12.html, Logitech, G332
Perfeo STRIKE,80247329,46,900 руб,1120 руб,https://parsinger.ru/html/headphones/5/5_13.html, Perfeo, STRIKE
Гарнитура Defender Lagopasmutus,80247082,57,1560 руб,2120 руб,https://parsinger.ru/html/headphones/5/5_14.html, Perfeo, Lagopasmutus 2
Игровая гарнитура проводная Harper GHS-R100,802471082,7,1300 руб,1620 руб,https://parsinger.ru/html/headphones/5/5_15.html, Harper, GHS-R100 2
Defender Memecoleous,80244710,71,2520 руб,2910 руб,https://parsinger.ru/html/headphones/5/5_16.html, Defender, Memecoleous
Гарнитура Defender TUNE 130,80602579,11,750 руб,1310 руб,https://parsinger.ru/html/headphones/5/5_17.html, Defender, TUNE 130
Игровая гарнитура проводная Sven AP-U880MV,80231237,1,2210 руб,2500 руб,https://parsinger.ru/html/headphones/5/5_18.html, Sven, AP-U880MV
Игровая гарнитура проводная Dialog HGK-20L Gan-Kata,80148581,15,1120 руб,1500 руб,https://parsinger.ru/html/headphones/5/5_19.html, Dialog, HGK-20L Gan-Kata
Logitech G333,802148581,11,5330 руб,5780 руб,https://parsinger.ru/html/headphones/5/5_20.html, Logitech, G333
Sven AP-U990MV Black-Red,80321860,31,3360 руб,3780 руб,https://parsinger.ru/html/headphones/5/5_21.html, Sven, AP-U990MV
Игровая гарнитура проводная Crown CMGH-3100,80327364,28,3110 руб,3290 руб,https://parsinger.ru/html/headphones/5/5_22.html, Crown, CMGH-3100
Гарнитура Redragon Triton,80365321,38,4740 руб,5050 руб,https://parsinger.ru/html/headphones/5/5_23.html, Defender, Triton
Наушники Ritmix RH-540M,80604527,30,830 руб,1200 руб,https://parsinger.ru/html/headphones/5/5_24.html, Ritmix, RH-540M
Гарнитура Redragon Minos,80604527,10,2210 руб,3200 руб,https://parsinger.ru/html/headphones/5/5_25.html, Defender, Minos
ИГРОВАЯ USB-ГАРНИТУРА С ТЕХНОЛОГИЕЙ ОБЪЕМНОГО ЗВУЧАНИЯ HARRIER 360,806045227,9,4220 руб,5000 руб,https://parsinger.ru/html/headphones/5/5_26.html, Verbatim, Harrier 360
Игровая гарнитура проводная Razer Kraken X Lite,80372864,49,5030 руб,6100 руб,https://parsinger.ru/html/headphones/5/5_27.html, Razer, Kraken X Lite
Гарнитура Defender Lester,80380105,20,1620 руб,1900 руб,https://parsinger.ru/html/headphones/5/5_28.html, Defender, Lester
Гарнитура Defender Excidium,80378919,18,1030 руб,1800 руб,https://parsinger.ru/html/headphones/5/5_29.html, Defender, Excidium
Игровая гарнитура проводная Sven AP-G857MV,80601248,18,1660 руб,2000 руб,https://parsinger.ru/html/headphones/5/5_30.html, Sven, AP-G857MV
Perfeo игровая гарнитура ACTION,80572569,8,950 руб,910 руб,https://parsinger.ru/html/headphones/5/5_31.html, Perfeo, -
Наушники HP Pavilion Gaming 600,80387567,38,4480 руб,5910 руб,https://parsinger.ru/html/headphones/5/5_32.html, HP, Pavilion Gaming 600
